"|","|__date","|__Aqua","|__year","|__Air Panas+gula","|__Test Food","|__tea float","|__Orange Float","|__Ayam Goreng","|__test food","|__Kopi Susu","|__sosis 1rb","|__sosis goreng","|__Sop","|__test2","|__Nasi Telur ","|__Nasi Bungkus","|__Tahu Tek","|__es batu","|__Krupuk","|__Kentang Goreng","|__voucher 15.000","|__Spaghetti","|__Teh Panas","|__french fries ","|__ayam geprek","|__Ayam Geprek (Tanpa Nasi)","|__SebLak Muzam","|__Mie Keriting","|__Nasi Goreng","|__kerupuk udang","|__tahu crispy","|__telur mata sapi","|__voucher 11000","|__Sosis","|__Telur Mata Sapi","|__Tahu Tek ","|__Club","|__Seblak AsLi","|__Isoplus","|__NasBung B","|__Pisang G","|__Sprite","|__Fanta","|__Nasi Pindang","|__Nasi Telur","|__Es Buah","|__Mie (Tanpa Telur)","|__Ayam Silep (tanpa nasi)","|__Nasi Sosis Goreng","|__ayam silep","|__Floridina","|__Coca-Cola","|__Sosis Naget","|__month","|__Es Kopi Durian","|__Sereal","|__Frestea","|__Aqua 600ml","|__Mie Ayam","|__NasBung A","|__Kopi Hitam","|__soto ayam","|__tahu ranjau","|__gorengan","|__nasi ayam silep","|__Es Milo","|__ES","|__Nasi Bungkus ","|__Soto","|__Masak Mie ","|__Air Mineral","|__Kerupuk ","|__Es Krim","|__Jeruk Hangat","|__Kerupuk","|__Coca Cola Float","|__Sayur Asem Tempe Goreng","|__Es Chocolatos","|__Nasi Putih ","|__Ayam Geprek","|__Nasi Sosis","|__Tahu Krispy","|__Sayur Asem Lele","|__soto","|__Masak Mie","|__Sosis 1rb","|__voucher 15000","|__Es Salju","|__Es Cendol","|__sebLak 375","|__Popmie","|__Teh Pucuk Harum","|__Nasi Ayam","|__Kentang G","|__Tahu G","|__Milo","|__Siomay","|__Cireng isi","|__Mie","|__Penyetan Dadar","|__Voucher","|__Coffee Float","|__Sayur Sop Tempe Goreng","|__Sayur Sop Ayam Goreng","|__Aneka Kopi","|__Cireng Isi","|__Masak Mie+Telur","|__Penyetan Telur ","|__Penyetan Lele","|__Pecel Tempe","|__Penyetan Ayam ","|__Es Batu/air panas","|__sayur Asem lele","|__sosis 1rb ","|__tes","|__Ayam Silep","|__Ayam Silep (Tanpa nasi)","|__Es Salju (Slushy)","|__sosis","|__Es Dawet Cincau","|__Es Teh","|__Tea Float","|__mie","|__Es Batu","|__Sosis 1rb ","|__Nasi Putih","|__air gelas","|__Penyetan Tempe","|__Kuah Sop ","|__Air Panas","|__Es krim","|__Es Jeruk","|__brengkesan pindang","|__Sayur Asem Telur Goreng","|__Penyetan Ikan Asin","|__Es Kopi","|__Chocolatos Float","|__Mie Tanpa Telur","|__French Fries","|__nasi goreng","|__masak mie+telur","|__ayam silep (tanpa nasi)","|__nasi sosis goreng ","|__masak mie","|__nasi putih","|__nasi telur","|__Lele goreng","|__Gorengan ","|__Telor Matasapi","|__total","|__Risol Mayo","|__Pisang Coklat Keju","|__Chocolatos Panas","|__Kuah Sop","|__penyetan lele","|__mie tanpa telur","|__cireng ","|__Test","|__jeruk hangat","|__cireng isi","|__jus mangga","|__Masak Mie + Telur","|__Sosis Goreng","|__Sayur Sop Telur Goreng","|__Tahu Telur","|__Tes","|__test","|__test minuman2","|__Es Dawet","|__Bakso","|__Gorengan","|__Sayur Asem Dadar","|__Es Kopi/chocolatos","|__Sayur Asem Ayam Goreng","|__Sebak 375","|__timestamp___seconds","|__timestamp___nanoseconds","|__customerNumber","|__-","|__Voucher Rp11000","|__cireng jumbo","|__Teh Hangat"
"2023-02-18","2023-02-18","","2023","","","","","","","","","","","","1","","","","5","4","","12","7","","","","","","3","","","","","","","","5","","","","","","","","","17","","","","","","","","2023-02","","","","","","","12","","","","","17","","","27","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","5","","","","","58","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","1318500","","","","","","","","1","","","","","","","","","","","","5","","","","","","1676708996","514000000","82","","","",""
"2023-02-19","2023-02-19","","2023","","","","","","","","","","","","","4","","","2","3","","6","2","","","","","","3","","","","","","","","","","","","","","","","","4","","","","","","","","2023-02","","","","","","","2","","","","","13","","","15","","","","","","","","","","","","1","11","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","2","","","","","15","","","","","1","","","","","","","","","","","","","","","","","","","","","","","3","560000","","","","","","","","","","","","","","","","","","","","1","","","","","","1676796803","149000000","37","","","",""
"2023-02-20","2023-02-20","","2023","","","","","","","","","","","","2","1","","","4","3","","6","4","","","","","","2","","","","","","","","","","","","","","","","","7","","","","","","","","2023-02","","","","","","","","","","","","4","","","11","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","2","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385000","","","","","","","","","","","","","","","","","","","","","","","","","","1676884616","774000000","31","","","",""
"2023-02-21","2023-02-21","","2023","","","","","","","","","","","","4","4","","","3","3","","10","3","","","","","","","","","","","","","","5","","","","","","","","","12","","","","","","","","2023-02","","","","","","","5","","","","","5","","","20","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","4","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","797500","","","","","","","","","","","","","","","","","","","","3","","","","","","1676972229","984000000","63","","","",""
"2023-02-22","2023-02-22","","2023","","","","","","","","","","","","1","4","","","3","4","","2","2","","","","","","5","","","","","","","","2","","","","","","","","","2","","","","","","","","2023-02","","","","","","","","","","","","5","","","13","","","","","","","","","","","","2","6","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","2","","","","1","20","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","578500","","","","","","","","","","","","","","","","","","","","3","","","","","","1677059216","48000000","40","","","",""
"2023-02-23","2023-02-23","","2023","","","","","","","","","","","","1","2","","","4","2","","6","","","","","","","3","","","","","","","","1","","","","","","","","","14","","","","","","","","2023-02","","","","","","","2","","","","","5","","","17","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","19","","","","","","","","","","","","","","","","","2","","","","","20","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","660000","","","","","","","","","","","","","","","","","","","","1","","","","","","1677141538","152000000","33","","","",""
"2023-02-24","2023-02-24","","2023","","","","","","","","","","","","6","","","","1","2","","14","1","","","","","","9","","","","","","","","4","","","","","","","","","6","","","","","","","","2023-02","","","","","","","2","","","","","9","","","42","","","","","","","","","","","","","19","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","","","","","","9","","","","","71","","","","","2","","","","","","","","","","","","","","","","","","","","","","2","1","1361500","","","","","","","","","","","","","","","","","","","","4","","","","","","1677228883","548000000","65","","","",""
"2023-02-25","2023-02-25","","2023","","","","","","","","","","","","4","","","","1","12","","3","7","","","","","","7","","","","","","","","7","","","","","","","","","8","","","","","","","","2023-02","","","","","","","1","","","","","11","","","21","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","28","","","","","","","","","","","","","","","","","8","","","","","38","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","1044500","","","","","","","","","","","","","","","","","","","","12","","","","","","1677313794","837000000","61","","","",""
"2023-02-26","2023-02-26","","2023","","","","","","","","","","","","1","5","","","2","4","","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-02","","","","","","","2","","","","","8","","","7","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","19","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","413000","","","","","","","","","","","","","","","","","","","","5","","","","","","1677401674","252000000","29","","","",""
"2023-02-27","2023-02-27","","2023","","","","","","","","","","","","2","","","","2","2","","","3","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","2023-02","","","","","","","2","","","","","5","","","24","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","454000","","","","","","","","","","","","","","","","","","","","3","","","","","","1677491222","300000000","33","","","",""
"2023-02-28","2023-02-28","","2023","","","","","","","","","","","","2","","","","2","","","3","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","2023-02","","","","","","","1","","","","","5","","","7","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","1","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","347000","","","","","","","","","","","","","","","","","","","","4","","","","","","1677577654","970000000","25","","","",""
"2023-03-01","2023-03-01","","2023","","","","","","","","","","","","4","3","","","4","","","8","4","","","","","","6","","","","","","","","8","","","","","","","","","","","","","","","","","2023-03","","","","","","","4","","","","","6","","","20","","","","","","","","","","","","1","18","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","7","","","","","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","880000","","","","","","","","","","","","","","","","","","","","5","","","","","","1677663706","408000000","54","","","",""
"2023-03-02","2023-03-02","","2023","","","","","","","","","","","","","2","","","6","","","5","3","","","","","","3","","","","","","","","2","","","","","","","","","","","","","","","","","2023-03","","","","","","","1","","","","","4","","","23","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","4","","","","","33","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","618000","","","","","","","","","","","","","","","","","","","","2","","","","","","1677743183","283000000","28","","","",""
"2023-03-03","2023-03-03","","2023","","","","","","","","","","","","4","","","","","","","15","2","","","","","","9","","","","","","","","","","","","","","","","","6","","","","","","","","2023-03","","","","","","","","","","","","17","","","35","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","48","","","","","","","","","","","","","","","","","4","","","","","72","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","1419000","","","","","","","","","","","","","","","","","","","","1","","","","","","1677831925","697000000","68","","","",""
"2023-03-04","2023-03-04","","2023","","","","","","","","","","","","3","2","","","4","","","8","1","","","","","","4","","","","","","","","","","","","","","","","","5","","","","","","","","2023-03","","","","","","","2","","","","","9","","","9","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","1","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","468000","","","","","","","","","","","","","","","","","","","","2","","","","","","1677919645","720000000","30","","","",""
"2023-03-05","2023-03-05","","2023","","","","","","","","","","","","","6","","","1","","","4","1","","","","","","6","","","","","","","","2","","","","","","","","","13","","","","","","","","2023-03","","","","","","","2","","","","","10","","","6","","","","","","","","","","","","2","11","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","5","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","472500","","","","","","","","","","","","","","","","","","","","4","","","","","","1678005219","833000000","31","","","",""
"2023-03-06","2023-03-06","","2023","","","","","","","","","","","","","3","","","","","","3","3","","","","","","4","","","","","","","","1","","","","","","","","","3","","","","","","","","2023-03","","","","","","","4","","","","","2","","","18","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","5","","","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","624000","","","","","","","","","","","","","","","","","","","","4","","","","","","1678095750","863000000","36","","","",""
"2023-03-07","2023-03-07","","2023","","","","","","","","","","","","4","","","","1","","","2","5","","","","","","5","","","","","","","","9","","","","","","","","","6","","","","","","","","2023-03","","","","","","","","","","","","8","","","14","","","","","","","","","","","","3","11","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","2","","","","","33","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","617500","","","","","","","","","","","","","","","","","","","","2","","","","","","1678182158","363000000","40","","","",""
"2023-03-08","2023-03-08","","2023","","","","","","","","","","","","2","","","","3","","","2","1","","","","","","3","","","","","","","","1","","","","","","","","","2","","","","","","","","2023-03","","","","","","","1","","","","","9","","","14","","","","","","","","","","","","1","5","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394500","","","","","","","","","","","","","","","","","","","","1","","","","","","1678267402","741000000","33","","","",""
"2023-03-09","2023-03-09","","2023","","","","","","","","","","","","","2","","","4","","","5","1","","","","","","5","","","","","","","","","","","","","","","","","6","","","","","","","","2023-03","","","","","","","","","","","","6","","","20","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","419000","","","","","","","","","","","","","","","","","","","","3","","","","","","1678351673","799000000","25","","","",""
"2023-03-10","2023-03-10","","2023","","","","","","","","","","","","10","","","","5","","","24","1","","","","","","9","","","","","","","","14","","","","","","","","","9","","","","","","","","2023-03","","","","","","","","","","","","21","","","36","","","","","","","","","","","","4","20","","","","","","","","","","","","","","","","","60","","","","","","","","","","","","","","","","","5","","","","","66","","","","","9","","","","","","","","","","","","","","","","","","","","","","8","3","1805500","","","","","","","","","","","","","","","","","","","","5","","","","","","1678436622","897000000","108","","","",""
"2023-03-11","2023-03-11","","2023","","","","","","","","","","","","","2","","","2","","","4","4","","","","","","4","","","","","","","","1","","","","","","","","","3","","","","","","","","2023-03","","","","","","","","","","","","6","","","6","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","2","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434000","","","","","","","","","","","","","","","","","","","","1","","","","","","1678524890","755000000","35","","","",""
"2023-03-12","2023-03-12","","2023","","","","","","","","","","","","1","4","","","1","","","15","11","","","","","","6","","","","","","","","4","","","","","","","","","18","","","","","","","","2023-03","","","","","","","7","","","","","9","","","16","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","22","","","","","","","","","","","","","","","","","7","","","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1086500","","","","","","","","","","","","","","","","","","","","11","","","","","","1678609988","341000000","56","","","",""
"2023-03-13","2023-03-13","","2023","","","","","","","","","","","","","5","","","2","","","2","2","","","","","","4","","","","","","","","1","","","","","","","","","1","","","","","","","","2023-03","","","","","","","","","","","","2","","","15","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","2","","","","","20","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","411000","","","","","","","","","","","","","","","","","","","","4","","","","","","1678700949","667000000","30","","","",""
"2023-03-14","2023-03-14","","2023","","","","","","","","","","","","6","3","","","2","","","2","1","","","","","","4","","","","","","","","1","","","","","","","","","6","","","","","","","","2023-03","","","","","","","1","","","","","1","","","16","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","439000","","","","","","","","","","","","","","","","","","","","3","","","","","","1678786523","652000000","27","","","",""
"2023-03-15","2023-03-15","","2023","","","","","","","","","","","","2","","","","5","","","3","5","","","","","","6","","","","","","","","4","","","","","","","","","9","","","","","","","","2023-03","","","","","","","3","","","","","5","","","28","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","1","","","","","22","","","","","1","","","","","","","","","","","","","","","","","","","","","","5","","699500","","","","","","","","","","","","","","","","","","","","2","","","","","","1678872024","701000000","45","","","",""
"2023-03-16","2023-03-16","","2023","","","","","","","","","","","","2","","","","4","","","5","3","","","","","","3","","","","","","","","","","","","","","","","","5","","","","","","","","2023-03","","","","","","","","","","","","4","","","9","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","2","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370000","","","","","","","","","","","","","","","","","","","","","","","","","","1678956484","291000000","30","","","",""
"2023-03-17","2023-03-17","","2023","","","","","","","","","","","","2","","","","5","","","15","1","","","","","","9","","","","","","","","11","","","","","","","","","24","","","","","","","","2023-03","","","","","","","3","","","","","9","","","21","","","","","","","","","","","","3","26","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","","","","","8","","","","","63","","","","","3","","","","","","","","","","","","","","","","","","","","","","","2","1413500","","","","","","","","","","","","","","","","","","","","10","","","","","","1679040511","339000000","78","","","",""
"2023-03-18","2023-03-18","","2023","","","","","","","","","","","","1","3","","","1","","","5","2","","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","","","2023-03","","","","","","","4","","","","","6","","","12","","","","","","","","","","","","","8","","","","","","","2","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","17","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","511500","","","","","","","","","","","","","","","","","","","","5","","","","","","1679154106","901000000","35","","","",""
"2023-03-19","2023-03-19","","2023","","","","","","","","","","","","","","","","","","","3","7","","","","","","9","","","","","","","","1","","","","","","","","","13","","","","","","","","2023-03","","","","","","","9","","","","","8","","","8","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","2","","","","","35","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","650000","","","","","","","","","","","","","","","","","","","","3","","","","","","1679215798","943000000","44","","","",""
"2023-03-20","2023-03-20","","2023","","","","","","","","","","","","5","","","","1","","","1","1","","","","","","6","","","","","","","","12","","","","","","","","","6","","","","","","","","2023-03","","","","","","","2","","","","","3","","","17","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","5","","","","","34","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","652500","","","","","","","","","","","","","","","","","","","","3","","","","","","1679303281","158000000","34","","","",""
"2023-03-21","2023-03-21","","2023","","","","","","","","","","","","","1","","","4","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2023-03","","","","","","","1","","","","","9","","","16","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","2","","","","","13","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","402000","","","","","","","","","","","","","","","","","","","","1","","","","","","1679390317","641000000","28","","","",""
"2023-03-22","2023-03-22","","2023","","","","","","","","","","","","7","1","","","6","","","2","3","","","","","","8","","","","","","","","3","","","","","","","","","15","","","","","","","","2023-03","","","","","","","2","","","","","13","","","61","","","","","","","","","","","","3","9","","","","","","","","","","","","","","","","","54","","","","","","","","","","","","","","","","","16","","","","","108","","","","","7","","","","","","","","","","","","","","","","","","","","","","","2","1853000","","","","","","","","","","","","","","","","","","","","11","","","","","","1679471202","851000000","93","","","",""
"2023-03-23","2023-03-23","","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","2023-03","","","","","","","","","","","","3","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","5","","","","","19","","","","","2","","","","","","","","","","","","","","","","","","","","","","","2","235000","","","","","","","","","","","","","","","","","","","","","","","","","","1679567295","516000000","18","","","",""
"2023-03-24","2023-03-24","","2023","","","","","","","","","","","","1","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-03","","","","","","","","","","","","","","","3","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","3","","","","","13","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","263000","","","","","","","","","","","","","","","","","","","","","","","","","","1679654724","976000000","20","","","",""
"2023-03-25","2023-03-25","","2023","","","","","","","","","","","","3","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","2023-03","","","","","","","","","","","","","","","1","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","5","","","","","15","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","196000","","","","","","","","","","","","","","","","","","","","","","","","","","1679739383","766000000","19","","","",""
"2023-03-26","2023-03-26","","2023","","","","","","","","","","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-03","","","","","","","","","","","","","","","3","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","1","","","","","11","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","307000","","","","","","","","","","","","","","","","","","","","","","","","","","1679826437","124000000","22","","","",""
"2023-03-27","2023-03-27","","2023","","","","","","","","","","","","4","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","5","","","","","5","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","192000","","","","","","","","","","","","","","","","","","","","","","","","","","1679913202","91000000","12","","","",""
"2023-03-28","2023-03-28","","2023","","","","","","","","","","","","4","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","2023-03","","","","","","","","","","","","","","","3","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","4","","","","","6","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","277000","","","","","","","","","","","","","","","","","","","","","","","","","","1679999106","322000000","21","","","",""
"2023-03-29","2023-03-29","","2023","","","","","","","","","","","","2","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","8","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","233000","","","","","","","","","","","","","","","","","","","","","","","","","","1680086661","134000000","20","","","",""
"2023-03-30","2023-03-30","","2023","","","","","","","","","","","","1","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","10","","","","","8","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","193000","","","","","","","","","","","","","","","","","","","","","","","","","","1680172320","276000000","14","","","",""
"2023-03-31","2023-03-31","","2023","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","15","","","","","20","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","470000","","","","","","","","","","","","","","","","","","","","","","","","","","1680258392","452000000","24","","","",""
"2023-04-01","2023-04-01","","2023","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","","","","","","6","","","","","23","","","","","9","","","","","","","","","","","","","","","","","","","","","","4","2","573000","","","","","","","","","","","","","","","","","","","","","","","","","","1680345598","985000000","32","","","",""
"2023-04-02","2023-04-02","","2023","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2023-04","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57000","","","","","","","","","","","","","","","","","","","","","","","","","","1680431787","860000000","3","","","",""
"2023-04-03","2023-04-03","","2023","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","5","","","","","9","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","159000","","","","","","","","","","","","","","","","","","","","","","","","","","1680517118","760000000","13","","","",""
"2023-04-04","2023-04-04","","2023","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","28","","","","","","","","","","","","","","","","","6","","","","","12","","","","","9","","","","","","","","","","","","","","","","","","","","","","","1","384000","","","","","","","","","","","","","","","","","","","","","","","","","","1680604180","174000000","26","","","",""
"2023-04-06","2023-04-06","","2023","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","7","","","","","8","","","6","","20","","","","","","","","","","","","","","","","","","","","","","","1","478000","","","","","","","","","","","","","","","","","","","","","","","","","","1680777264","407000000","26","","","",""
"2023-04-07","2023-04-07","","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","","","","","","","","","","","","","","","12","","","","","22","","","4","","7","","","","","","","","","","","","","","","","","","","","","","","1","475000","","","","","","","","","","","","","","","","","","","","","","","","","","1680863802","578000000","29","","","",""
"2023-04-08","2023-04-08","","2023","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","19","","","","","","","","","","","","","","","","","5","","","","","19","","","8","","5","","","","","","","","","","","","","","","","","","","","","","","1","325000","","","","","","","","","","","","","","","","","","","","","","","","","","1680949692","648000000","21","","","",""
"2023-05-08","2023-05-08","","2023","","","","","","","","","","","","2","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-05","","","","","","","3","","","","","14","","","10","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","6","","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","693000","","","","","","","","","","","","","","","","","","","","27","","","","","","1683532095","791000000","29","","","",""
"2023-05-09","2023-05-09","","2023","","","","","","","","","","","","","","","","","12","","","1","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","2023-05","","","","","","","1","","","","","13","","","12","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","1","","","","","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","571000","","","","","","","","","","","","","","","","","","","","6","","","","","","1683620936","217000000","25","","","",""
"2023-05-10","2023-05-10","","2023","","","","","","","","","","","","2","","","","","8","","","","","","","","","6","","","","","","","","3","","","","","","","","","","","","","","","","","2023-05","","","","","","","","","","","","4","","","12","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","549000","","","","","","","","","","","","","","","","","","","","17","","","","","","1683710688","862000000","29","","","",""
"2023-05-11","2023-05-11","","2023","","","","","","","","","","","","4","1","","","","4","","","3","","","","","","4","","","","","","","","2","","","","","","","","","","","","","","","","","2023-05","","","","","","","3","","","","","14","","","30","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","5","","","","","39","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","811000","","","","","","","","1","","","","","","","","","","","","6","","","","","","1683795194","211000000","45","","","",""
